Id,SalePrice
2658,145078.98328040857
2718,179275.78886912888
2414,196780.29974974238
1989,99744.70780307351
625,161319.6701868934
333,92212.1841755595
1327,102696.82231759348
858,140233.96999633918
95,215876.98386850374
1568,164313.2663336324
2482,152145.90350193778
1364,103912.13657287013
2584,155991.78269208732
818,286049.45629299706
2673,155800.29054471987
2089,124025.42927589205
1297,136619.1085792778
790,113828.63069533043
2616,180301.80246610517
720,158862.26735127112
222,131664.27297663534
557,121267.05313100592
1148,173279.49517046646
2766,163720.12798427918
534,179767.48982918297
1452,121847.60996162915
630,124343.77341653561
2648,111332.70464305015
125,145191.9274309456
1904,81691.72772257187
1670,110764.21287445512
756,86576.43765537706
717,185449.86816046457
1032,134800.99876233644
852,204611.3302882601
1731,194477.3533280763
2639,108803.48020034739
2071,107016.9822957802
1267,119748.22391121414
1851,192399.42188053243
567,169282.26893140015
2439,216650.81550863734
1898,138801.2532076059
647,136943.6553156374
2256,209541.86871631644
979,99087.10528918609
1444,224120.60278492258
2485,115524.1783575813
157,121836.45499040195
88,128852.93806039721
2003,111151.92912820184
186,191636.16855725442
1425,243462.57702297546
2695,106208.47594156374
738,112066.44631680143
395,146621.23768655348
1353,175344.79972124734
1878,139104.44915846345
390,172285.55546688178
1456,228968.57427952677
1103,275982.396601251
1387,116432.02231624909
2070,132345.08172364693
1199,197276.35774948244
2479,172000.5591678588
501,277460.24437914486
2362,110764.21287445512
1718,194136.39134405417
2188,75987.21098107476
1483,150441.05347188294
2557,88731.02522590519
437,360171.41258926527
2224,189933.16123483932
1628,186511.21664198762
397,132179.5923708799
587,176224.57965691722
971,161513.01707196268
2611,151772.59071994957
1887,120927.98178189369
2399,319062.5394750474
2148,203155.38233191575
304,104793.46794370671
1997,115005.33305851658
2817,98326.50516115353
1431,221666.74291123732
427,311557.3471064706
263,122301.17869977573
598,157419.28140569918
2895,246544.89691966624
687,158937.43054746228
1822,126835.90331855738
2191,95623.23348383495
179,128217.48086066043
1009,221991.687992955
2010,122260.1298965333
1991,139910.1646260497
1411,130289.2852380076
1721,266200.5699771408
1144,180930.16554621287
593,242904.11941459787
575,250608.98781021926
1249,179037.9555318422
1604,133720.33896519
1064,442896.7425168464
1923,151177.42524790624
1988,103413.09037862025
2325,168402.4542339772
114,191971.2747667255
2700,190938.57287042463
217,148272.61882118895
343,168955.8292178751
386,254621.54523334638
2005,109246.82680939687
2908,153037.66508410257
1814,190464.2638621004
2446,571243.24123173
208,120697.54978810626
1679,99883.3044995513
822,283678.3569903666
6,176558.32803569574
1781,338453.00173871685
2397,302813.8166504739
2340,305759.807773508
1618,168859.17957123858
2843,125905.52012480037
1061,379613.7247578323
2786,121847.60996162915
1935,123440.14648897332
1341,113262.08322989308
521,262970.8043316933
2136,129664.54997460314
996,178428.41530624634
227,148112.0710998893
135,149936.8795582393
1167,181538.55669006213
294,240560.07121477037
1776,197868.74937683097
540,172468.35877189008
1717,194136.39134405417
2303,128964.0728581776
116,160917.70955258046
127,124986.7293731103
1371,111940.83189707068
1014,147202.95826170285
1507,112935.91599186481
702,148290.7196108657
750,140204.01598794037
261,163857.5850548946
1559,76636.95900013241
577,228872.51539752778
2812,221621.08567197406
2080,150978.0200185575
1368,119332.3432172065
2376,124634.40485554402
659,94743.82040418914
1235,127713.71070269651
332,91646.18520026545
1917,137419.86410155217
2094,226786.68766765826
1460,292138.9304335118
1471,179799.0374904193
1509,114807.20675720606
1922,125676.14999807802
433,477634.0118731415
460,292167.90683151525
1116,236272.86666526846
1137,152912.78449828987
53,178058.52542480233
2354,263863.11556810787
1475,203523.05339441242
1761,745382.7719353493
842,135572.47860626064
2739,134831.85579359165
2509,187958.26749671853
1007,214596.13045101103
2610,178687.25000980098
1952,90701.56685239436
2719,178280.09520201106
2921,91646.18520026545
1966,135610.7544376968
292,126036.22719633965
1204,215032.07811434026
1829,255674.66817157358
2419,196537.2370328862
391,160363.742753685
798,128632.9184611574
481,194550.0703978569
193,187605.83241730055
555,126092.01118371844
899,85444.49556672356
2357,199964.55439246618
328,99376.30882055682
1356,112587.49333825194
1154,122015.98804476246
1730,173821.04487477455
2249,147107.52830533733
1119,260166.99584697658
2856,121379.97936936271
1394,150968.8053327281
2587,129985.46734358279
61,319138.010273349
2661,172271.09729435772
2711,140638.97602360457
1147,178344.03461669106
757,126148.78229640474
2623,109854.4555321597
2378,144019.17612617058
1413,138539.93403578902
1722,251451.67917841912
1112,209569.04799783404
1623,183241.77277968897
1201,188744.3087952852
1513,97875.19056362101
957,231122.07427635547
1171,258727.9559953316
1145,201599.02235753517
2726,237485.52530614013
703,154219.12764143155
760,78021.59464715335
1964,126993.73346329949
2512,198084.74266199194
159,137358.02063030947
1281,182712.6870724174
468,177962.09955293292
290,113018.66302638043
665,95163.2693565528
1463,295501.3986707347
1792,238142.32910043362
923,154545.39007572547
500,270861.31027525483
1408,124375.08339208848
331,79915.71040026078
170,108409.89408025834
2192,91822.55432608532
2571,302368.2595535967
2314,169284.85199354094
2647,96579.31125452477
422,437870.44624205725
2457,277064.6749885328
1838,196224.09958949097
2805,266680.30574334034
1645,162027.68213303693
1711,340031.80952320836
2825,244284.9655174925
322,331711.8023146258
2103,246193.40290706902
342,134724.9149416718
600,108278.46461855744
488,188770.23066150965
1725,331024.14929130464
2246,282287.970098409
2847,142530.3875444913
806,249748.1599789114
530,244663.59916461044
963,181844.90635401412
2678,90849.08226282308
171,89892.10281430365
2401,429293.16840510006
805,211312.65040576403
2259,216893.9302507123
1748,188318.54830384697
1361,131669.29566585599
1677,110441.86842543122
1406,127643.57473128795
2322,231533.29357690216
688,183845.31278563268
143,137394.70407645966
804,204614.4524332088
1214,159626.46194001107
2828,148780.27708461366
1999,162345.69028887613
2467,210323.47749724914
2665,159797.05248477994
